car_id,model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
8002, 1 Series,2016,13500,Manual,29226,Diesel,30,62.8,2.0
8003, X1,2017,18900,Automatic,33514,Diesel,145,60.1,2.0
8004, 1 Series,2018,14600,Automatic,6522,Petrol,145,37.2,1.5
8005, 3 Series,2016,15800,Manual,11231,Petrol,145,47.9,2.0
8006, 1 Series,2016,11400,Manual,21591,Petrol,125,53.3,1.5
8007, X3,2013,12000,Automatic,79972,Diesel,200,47.1,3.0
8008, 1 Series,2018,17500,Automatic,14037,Petrol,145,54.3,1.5
8009, 5 Series,2017,23500,Automatic,25034,Diesel,200,47.9,3.0
8010, X1,2016,16700,Automatic,44478,Diesel,125,60.1,2.0
8011, X3,2017,18000,Automatic,74852,Diesel,150,47.1,3.0
8012, 4 Series,2016,15500,Automatic,45856,Diesel,30,65.7,2.0
8013, 1 Series,2016,9200,Manual,48858,Diesel,0,83.1,1.5
8014, 1 Series,2017,11200,Manual,40399,Diesel,145,68.9,2.0
8015, 1 Series,2016,13200,Manual,17393,Diesel,30,65.7,2.0
8016, 5 Series,2014,11000,Automatic,84816,Diesel,30,62.8,2.0
8017, 3 Series,2017,18500,Automatic,27139,Diesel,160,51.4,3.0
8018, 1 Series,2017,12750,Automatic,91563,Diesel,125,60.1,2.0
8019, 3 Series,2014,14000,Manual,32139,Petrol,205,43.5,2.0
8020, X1,2017,14000,Automatic,54120,Diesel,30,65.7,2.0
8021, X1,2017,14000,Manual,20925,Diesel,150,68.9,2.0
8022, 3 Series,2016,12750,Manual,30521,Diesel,20,68.9,2.0
8023, X1,2018,18000,Manual,16066,Petrol,150,51.4,1.5
8024, 1 Series,2015,11100,Manual,11524,Diesel,0,83.1,1.5
8025, 1 Series,2017,12700,Manual,21809,Petrol,145,53.3,1.5
8026, 1 Series,2017,14500,Automatic,27245,Diesel,145,68.9,2.0
8027, 3 Series,2013,12750,Automatic,35736,Diesel,125,58.9,2.0
8028, X1,2017,14100,Automatic,55782,Diesel,145,65.7,2.0
8029, 1 Series,2016,10800,Manual,26404,Petrol,125,53.3,1.5
8030, 1 Series,2016,13000,Manual,26631,Petrol,125,52.3,1.5
8031, 1 Series,2016,12500,Manual,24111,Petrol,145,47.1,1.6
8032, 3 Series,2017,13600,Manual,22763,Petrol,145,48.7,2.0
8033, 3 Series,2016,12700,Manual,17385,Diesel,20,72.4,2.0
8034, 5 Series,2016,15600,Automatic,35474,Diesel,125,60.1,2.0
8035, 4 Series,2016,15250,Manual,16584,Diesel,30,62.8,2.0
8036, 1 Series,2018,11700,Manual,30273,Diesel,145,53.3,1.5
8037, 2 Series,2017,10900,Manual,62021,Diesel,145,65.7,2.0
8038, 5 Series,2016,14400,Automatic,51552,Diesel,30,62.8,2.0
8039, 1 Series,2016,11100,Manual,29508,Petrol,125,53.3,1.5
8040, 1 Series,2017,11100,Manual,30865,Diesel,145,72.4,1.5
8041, 5 Series,2014,12400,Automatic,46356,Diesel,30,62.8,2.0
8042, 1 Series,2016,12800,Manual,18343,Diesel,20,70.6,1.5
8043, 5 Series,2014,15000,Automatic,13858,Diesel,125,57.6,2.0
8044, 2 Series,2017,12750,Manual,33752,Petrol,125,52.3,1.5
8045, X3,2016,21750,Automatic,19083,Diesel,150,54.3,2.0
8046, 2 Series,2017,13900,Automatic,46281,Petrol,125,51.4,1.5
8047, X1,2017,14000,Automatic,54183,Diesel,150,65.7,2.0
8048, X1,2017,15200,Automatic,36701,Diesel,30,65.7,2.0
8049, 3 Series,2017,13500,Automatic,48082,Petrol,150,51.4,2.0
8050, X1,2016,12150,Manual,77482,Diesel,20,68.9,2.0
8051, 2 Series,2017,16000,Automatic,32389,Other,0,141.2,1.5
8052, 5 Series,2016,14000,Automatic,39235,Diesel,30,62.8,2.0
8053, 3 Series,2018,19490,Automatic,30703,Diesel,145,57.6,2.0
8054, 1 Series,2015,15499,Semi-Auto,20000,Diesel,125,60.1,2.0
8055, 2 Series,2017,13000,Semi-Auto,34971,Diesel,150,72.4,1.5
8056, 1 Series,2014,10600,Semi-Auto,44900,Diesel,30,64.2,2.0
8057, X3,2017,23000,Semi-Auto,16945,Diesel,150,54.3,2.0
8058, M4,2016,29998,Semi-Auto,34209,Petrol,300,34.0,3.0
8059, 1 Series,2017,12498,Manual,14138,Diesel,20,72.4,1.5
8060, 1 Series,2015,7948,Manual,74375,Diesel,30,65.7,2.0
8061, X1,2017,17800,Automatic,31238,Diesel,145,55.4,2.0
8062, 3 Series,2015,13100,Manual,37204,Diesel,30,64.2,2.0
8063, 1 Series,2017,11400,Manual,26265,Diesel,0,83.1,1.5
8064, 3 Series,2016,14800,Automatic,38838,Diesel,125,57.6,2.0
8065, X3,2016,15900,Automatic,59692,Diesel,145,54.3,2.0
8066, 3 Series,2016,16300,Automatic,34623,Diesel,125,57.6,2.0
8067, 3 Series,2017,14800,Manual,29968,Diesel,30,64.2,2.0
8068, 3 Series,2017,19700,Automatic,27748,Diesel,200,49.6,3.0
8069, 3 Series,2015,14450,Automatic,47288,Diesel,30,62.8,2.0
8070, 5 Series,2016,13500,Automatic,64117,Diesel,30,65.7,2.0
8071, 5 Series,2015,10900,Automatic,79563,Diesel,125,60.1,2.0
8072, 3 Series,2016,12200,Manual,34842,Diesel,30,67.3,2.0
8073, 2 Series,2016,10600,Manual,24313,Diesel,0,74.3,1.5
8074, 2 Series,2015,9100,Manual,40789,Diesel,0,74.3,1.5
8075, 3 Series,2017,12600,Automatic,66743,Diesel,30,67.3,2.0
8076, 5 Series,2016,13600,Automatic,65612,Diesel,30,62.8,2.0
8077, 1 Series,2016,11700,Manual,21390,Diesel,20,72.4,1.5
8078, 3 Series,2017,12450,Automatic,72065,Diesel,20,70.6,2.0
8079, 5 Series,2016,13500,Automatic,62444,Diesel,125,60.1,2.0
8080, X3,2013,12750,Automatic,71558,Diesel,160,50.4,2.0
8081, X1,2017,16700,Automatic,34666,Diesel,145,65.7,2.0
8082, 1 Series,2016,11400,Manual,22920,Diesel,20,72.4,1.5
8083, X5,2016,21000,Automatic,71626,Other,0,85.6,2.0
8084, X1,2017,14700,Manual,38405,Diesel,145,68.9,2.0
8085, 3 Series,2018,19000,Automatic,20681,Diesel,145,64.2,2.0
8086, 3 Series,2017,15400,Automatic,20529,Diesel,145,65.7,2.0
8087, X3,2016,19000,Automatic,42691,Diesel,145,54.3,2.0
8088, 1 Series,2018,15000,Automatic,10058,Petrol,145,37.2,1.5
8089, 3 Series,2016,17950,Automatic,40337,Diesel,145,53.3,3.0
8090, 5 Series,2018,22600,Automatic,23195,Diesel,145,65.7,2.0
8091, 1 Series,2017,13200,Manual,17117,Petrol,145,53.3,1.5
8092, 3 Series,2017,12750,Manual,22153,Diesel,150,68.9,2.0
8093, 3 Series,2015,9750,Manual,56038,Diesel,20,68.9,2.0
8094, 3 Series,2017,10900,Automatic,78345,Diesel,0,74.3,2.0
8095, X4,2016,21400,Automatic,31084,Diesel,145,54.3,2.0
8096, 1 Series,2017,14600,Automatic,5615,Petrol,145,58.9,1.5
8097, 3 Series,2017,12600,Automatic,55751,Petrol,150,51.4,1.5
8098, X4,2017,22500,Automatic,35016,Diesel,150,54.3,2.0
8099, 1 Series,2016,8000,Manual,81579,Diesel,0,83.1,1.5
8100, X1,2017,14800,Manual,31518,Diesel,145,60.1,2.0
8101, 1 Series,2016,9900,Manual,44008,Diesel,0,83.1,1.5
8102, 2 Series,2016,9500,Manual,59509,Diesel,20,68.9,2.0
8103, 3 Series,2017,17950,Automatic,43703,Other,140,134.5,2.0
8104, 1 Series,2016,14200,Automatic,36858,Diesel,125,60.1,2.0
8105, 1 Series,2016,12100,Automatic,25786,Diesel,0,74.3,2.0
8106, 1 Series,2016,12700,Automatic,24592,Diesel,20,68.9,2.0
8107, 1 Series,2016,8800,Manual,51002,Diesel,0,83.1,1.5
8108, 1 Series,2017,15000,Automatic,26052,Diesel,145,68.9,2.0
8109, 3 Series,2017,17100,Automatic,31528,Diesel,145,64.2,2.0
8110, X3,2017,21750,Automatic,25776,Diesel,200,47.9,3.0
8111, 1 Series,2016,13400,Manual,18055,Petrol,125,52.3,1.5
8112, 3 Series,2014,9900,Automatic,63223,Diesel,20,68.9,2.0
8113, 1 Series,2016,13700,Manual,8719,Petrol,125,52.3,1.5
8114, 4 Series,2018,16900,Automatic,27133,Petrol,145,44.8,2.0
8115, 5 Series,2018,21950,Automatic,21947,Diesel,150,68.9,2.0
8116, X1,2013,8750,Manual,80625,Diesel,160,51.4,2.0
8117, 3 Series,2017,17000,Automatic,31501,Other,0,134.5,2.0
8118, 1 Series,2016,13750,Automatic,8707,Petrol,30,55.5,1.5
8119, 1 Series,2017,12800,Manual,10861,Petrol,125,53.3,1.5
8120, 4 Series,2017,16000,Manual,16359,Petrol,145,46.3,2.0
8121, 4 Series,2017,16600,Automatic,46913,Diesel,145,65.7,2.0
8122, 3 Series,2017,15100,Manual,37747,Diesel,125,60.1,2.0
8123, 4 Series,2017,16750,Manual,24882,Petrol,145,46.3,2.0
8124, 1 Series,2015,12450,Manual,24474,Petrol,125,52.3,1.5
8125, 3 Series,2018,15700,Automatic,29394,Petrol,145,48.7,2.0
8126, 5 Series,2016,12600,Manual,59528,Diesel,125,60.1,2.0
8127, 2 Series,2016,14600,Manual,15577,Petrol,160,44.1,2.0
8128, X1,2016,13700,Manual,52226,Diesel,20,68.9,2.0
8129, 3 Series,2017,16900,Automatic,12330,Diesel,30,64.2,2.0
8130, 4 Series,2015,15998,Semi-Auto,62943,Diesel,30,65.7,2.0
8131, X1,2020,31498,Semi-Auto,1560,Diesel,145,60.1,2.0
8132, 2 Series,2020,27998,Manual,1580,Petrol,150,43.5,1.5
8133, X5,2020,54998,Semi-Auto,1500,Diesel,150,37.7,3.0
8134, 3 Series,2014,11998,Manual,11545,Petrol,165,44.8,2.0
8135, 2 Series,2020,25998,Automatic,3160,Hybrid,140,113.0,1.5
8136, 1 Series,2020,31998,Semi-Auto,1560,Diesel,150,48.7,2.0
8137, X2,2020,29998,Manual,1850,Diesel,150,49.6,2.0
8138, X4,2019,33998,Semi-Auto,7272,Diesel,150,42.8,2.0
8139, X4,2019,33998,Semi-Auto,7272,Diesel,150,42.8,2.0
8140, 1 Series,2017,14995,Manual,19866,Diesel,30,65.7,2.0
8141, 4 Series,2016,17995,Semi-Auto,22476,Petrol,145,48.7,2.0
8142, 1 Series,2013,14498,Semi-Auto,42786,Petrol,235,37.7,3.0
8143, 1 Series,2015,10998,Manual,42410,Diesel,30,65.7,2.0
8144, 5 Series,2014,11998,Semi-Auto,60681,Diesel,125,57.6,2.0
8145, X1,2016,14498,Manual,57717,Diesel,125,58.9,2.0
8146, 3 Series,2017,16998,Semi-Auto,8096,Petrol,145,51.4,2.0
8147, 1 Series,2015,11498,Manual,49151,Diesel,30,62.8,2.0
8148, X6,2017,29498,Semi-Auto,40429,Diesel,200,47.1,3.0
8149, M4,2016,31498,Semi-Auto,21107,Petrol,300,34.0,3.0
8150, 1 Series,2016,19498,Semi-Auto,33043,Petrol,200,39.8,3.0
8151, X1,2016,17998,Semi-Auto,50378,Diesel,125,57.6,2.0
8152, 5 Series,2019,25998,Semi-Auto,11115,Diesel,145,65.7,2.0
8153, X1,2013,8298,Manual,69020,Diesel,125,57.6,2.0
8154, 8 Series,2019,61898,Semi-Auto,2650,Diesel,145,39.8,3.0
8155, 1 Series,2014,13298,Manual,55834,Petrol,300,35.3,3.0
8156, 3 Series,2019,21898,Semi-Auto,5761,Diesel,150,55.4,2.0
8157, 1 Series,2017,11498,Semi-Auto,47110,Diesel,0,78.5,1.5
8158, X3,2014,17495,Semi-Auto,54075,Diesel,145,54.3,2.0
8159, 5 Series,2015,14998,Semi-Auto,45152,Diesel,30,62.8,2.0
8160, 2 Series,2014,10498,Manual,52091,Diesel,125,58.9,2.0
8161, 1 Series,2019,19998,Semi-Auto,4812,Petrol,145,47.9,2.0
8162, X1,2016,16698,Semi-Auto,37272,Petrol,160,44.8,2.0
8163, 3 Series,2019,27998,Semi-Auto,4250,Diesel,145,48.7,2.0
8164, 5 Series,2018,27798,Semi-Auto,15711,Diesel,145,60.1,3.0
8165, 1 Series,2016,18298,Manual,21236,Petrol,260,36.2,3.0
8166, 1 Series,2017,14698,Semi-Auto,24008,Petrol,145,55.5,1.5
8167, X1,2016,18498,Semi-Auto,25994,Diesel,145,55.4,2.0
8168, X5,2015,27998,Automatic,24188,Diesel,200,47.1,3.0
8169, X5,2015,21498,Automatic,59216,Diesel,200,47.9,3.0
8170, 1 Series,2017,19498,Manual,21171,Petrol,260,36.2,3.0
8171, 1 Series,2017,14498,Manual,24259,Petrol,145,52.3,1.5
8172, 5 Series,2017,22998,Semi-Auto,19379,Diesel,145,65.7,2.0
8173, 1 Series,2017,14498,Manual,20790,Diesel,145,70.6,1.5
8174, 5 Series,2019,29898,Semi-Auto,2743,Diesel,145,60.1,2.0
8175, 3 Series,2019,22998,Semi-Auto,6000,Petrol,145,48.7,2.0
8176, 3 Series,2019,29998,Manual,3980,Diesel,145,53.3,2.0
8177, 4 Series,2019,29898,Semi-Auto,101,Diesel,145,60.1,2.0
8178, 5 Series,2017,20498,Semi-Auto,12725,Diesel,145,68.9,2.0
8179, 3 Series,2019,27650,Semi-Auto,18200,Diesel,150,48.7,2.0
8180, Z4,2016,18650,Semi-Auto,25300,Petrol,205,41.5,2.0
8181, 4 Series,2018,22995,Automatic,7200,Petrol,145,48.7,2.0
8182, X6,2018,36995,Semi-Auto,6100,Diesel,145,47.1,3.0
8183, 5 Series,2018,26995,Automatic,6800,Diesel,145,68.9,2.0
8184, 1 Series,2013,11995,Manual,31600,Diesel,125,57.6,2.0
8185, 5 Series,2018,25995,Semi-Auto,8700,Diesel,145,49.6,2.0
8186, X6,2016,29995,Automatic,43600,Diesel,200,44.8,3.0
8187, 3 Series,2018,21495,Semi-Auto,16452,Petrol,150,48.7,2.0
8188, 5 Series,2017,22998,Automatic,15838,Diesel,145,60.1,2.0
8189, 5 Series,2019,34498,Automatic,6775,Diesel,145,51.4,3.0
8190, 1 Series,2019,18498,Semi-Auto,11234,Diesel,145,68.9,2.0
8191, 7 Series,2019,45898,Semi-Auto,5893,Diesel,145,44.1,3.0
8192, X3,2019,37898,Semi-Auto,9781,Diesel,145,48.7,3.0
8193, X5,2016,34498,Automatic,17303,Hybrid,0,85.6,2.0
8194, 1 Series,2016,17998,Manual,25334,Petrol,300,35.3,3.0
8195, 3 Series,2016,18498,Semi-Auto,36501,Diesel,145,53.3,3.0
8196, 2 Series,2019,23998,Semi-Auto,2318,Petrol,145,47.9,2.0
8197, X1,2017,21498,Semi-Auto,14418,Diesel,145,55.4,2.0
8198, X1,2017,18500,Semi-Auto,12160,Diesel,145,65.7,2.0
8199, X3,2018,31000,Semi-Auto,20290,Diesel,145,48.7,3.0
8200, X1,2016,19500,Semi-Auto,13690,Diesel,125,57.6,2.0
8201, X5,2017,34000,Automatic,22158,Diesel,205,47.1,3.0
8202, X5,2015,28000,Automatic,36174,Diesel,205,47.1,3.0
8203, 3 Series,2018,22000,Semi-Auto,30000,Diesel,150,53.3,3.0
8204, 1 Series,2016,16000,Manual,40125,Petrol,305,35.3,3.0
8205, 3 Series,2017,18000,Manual,20087,Petrol,165,44.8,2.0
8206, X7,2020,78000,Semi-Auto,5000,Diesel,150,31.4,3.0
8207, 3 Series,2018,22500,Semi-Auto,11150,Petrol,145,48.7,2.0
8208, 1 Series,2018,15500,Manual,5827,Petrol,145,37.7,1.5
8209, 4 Series,2019,29000,Semi-Auto,14000,Diesel,145,50.4,3.0
8210, 4 Series,2019,24700,Semi-Auto,5196,Diesel,145,65.7,2.0
8211, 2 Series,2019,24000,Semi-Auto,2500,Petrol,145,39.2,1.5
8212, 1 Series,2018,16000,Manual,7000,Diesel,145,50.4,1.5
8213, X3,2019,56000,Semi-Auto,26,Petrol,145,24.8,3.0
8214, 1 Series,2019,32000,Semi-Auto,4493,Petrol,145,34.5,2.0
8215, X1,2018,20000,Semi-Auto,10545,Diesel,145,60.1,2.0
8216, X1,2017,22000,Semi-Auto,16500,Petrol,145,44.8,2.0
8217, 3 Series,2016,16998,Semi-Auto,43695,Hybrid,0,134.5,2.0
8218, X3,2015,17498,Semi-Auto,48867,Diesel,145,54.3,2.0
8219, 1 Series,2017,15798,Semi-Auto,23157,Petrol,145,54.3,1.5
8220, X1,2016,18998,Semi-Auto,30434,Diesel,125,57.6,2.0
8221, 3 Series,2015,20000,Semi-Auto,39700,Diesel,160,50.4,3.0
8222, 5 Series,2019,28000,Semi-Auto,5739,Diesel,145,62.8,2.0
8223, X5,2017,41500,Automatic,18000,Diesel,145,42.8,3.0
8224, 1 Series,2018,16000,Semi-Auto,24275,Diesel,145,68.9,1.5
8225, 4 Series,2017,20800,Semi-Auto,14774,Diesel,125,58.9,2.0
8226, 3 Series,2018,20500,Semi-Auto,12133,Petrol,145,48.7,2.0
8227, 1 Series,2017,15500,Manual,15645,Petrol,125,52.3,1.5
8228, X4,2016,25000,Semi-Auto,25085,Diesel,200,47.9,3.0
8229, 1 Series,2017,21500,Semi-Auto,19486,Petrol,145,39.8,3.0
8230, X2,2019,30000,Semi-Auto,5431,Diesel,145,48.7,2.0
8231, 7 Series,2020,53000,Semi-Auto,6555,Diesel,145,42.2,3.0
8232, 3 Series,2014,14000,Semi-Auto,73923,Diesel,160,52.3,3.0
8233, 1 Series,2018,25990,Semi-Auto,6500,Petrol,150,32.5,3.0
8234, X4,2018,32000,Semi-Auto,10920,Diesel,150,42.8,2.0
8235, 3 Series,2019,24300,Semi-Auto,8000,Petrol,150,44.8,2.0
8236, 5 Series,2019,33000,Semi-Auto,12250,Diesel,150,53.3,3.0
8237, X3,2016,20500,Semi-Auto,37000,Diesel,145,54.3,2.0
8238, 3 Series,2016,19000,Semi-Auto,40500,Diesel,145,53.3,3.0
8239, 3 Series,2017,18000,Semi-Auto,33000,Diesel,145,60.1,2.0
8240, M4,2020,51000,Semi-Auto,2000,Petrol,145,32.5,3.0
8241, X3,2015,16500,Semi-Auto,48000,Diesel,145,54.3,2.0
8242, 4 Series,2017,19800,Manual,17410,Petrol,150,40.9,2.0
8243, 1 Series,2017,13500,Manual,25975,Petrol,145,53.3,1.5
8244, 1 Series,2019,18500,Semi-Auto,12054,Petrol,150,54.3,1.5
8245, 1 Series,2014,9300,Manual,51203,Diesel,30,65.7,2.0
8246, X5,2019,50000,Semi-Auto,5145,Diesel,150,37.7,3.0
8247, 1 Series,2017,11800,Manual,23274,Diesel,20,72.4,1.5
8248, 4 Series,2018,22000,Semi-Auto,10948,Diesel,145,60.1,2.0
8249, 2 Series,2019,27500,Semi-Auto,7000,Petrol,145,38.2,3.0
8250, 5 Series,2019,28000,Semi-Auto,16000,Diesel,145,60.1,3.0
8251, 2 Series,2020,29000,Manual,5550,Petrol,145,43.5,1.5
8252, 3 Series,2014,16800,Semi-Auto,50687,Diesel,160,52.3,3.0
8253, 3 Series,2013,15500,Semi-Auto,46500,Diesel,150,55.4,3.0
8254, X1,2016,19300,Semi-Auto,25300,Diesel,125,60.1,2.0
8255, 1 Series,2017,16998,Semi-Auto,12458,Diesel,30,62.8,2.0
8256, 1 Series,2017,21498,Semi-Auto,21200,Petrol,200,39.8,3.0
8257, 4 Series,2016,18998,Semi-Auto,20151,Diesel,145,53.3,3.0
8258, X1,2017,18498,Manual,13278,Diesel,125,58.9,2.0
8259, 5 Series,2019,27000,Semi-Auto,9000,Petrol,145,48.7,2.0
8260, 2 Series,2018,18000,Semi-Auto,13174,Diesel,145,49.6,2.0
8261, 7 Series,2016,26000,Semi-Auto,39085,Diesel,145,54.3,3.0
8262, 3 Series,2017,25500,Semi-Auto,14834,Diesel,145,51.4,3.0
8263, 3 Series,2016,18000,Semi-Auto,15088,Diesel,145,55.4,3.0
8264, 1 Series,2017,16800,Semi-Auto,16761,Diesel,145,67.3,2.0
8265, 3 Series,2018,21300,Semi-Auto,18564,Diesel,145,60.1,2.0
8266, X2,2019,29000,Semi-Auto,1418,Petrol,145,36.2,2.0
8267, 3 Series,2019,34000,Semi-Auto,5525,Diesel,145,50.4,2.0
8268, 3 Series,2017,24000,Semi-Auto,15338,Diesel,145,49.6,3.0
8269, 3 Series,2013,14990,Semi-Auto,35500,Diesel,145,55.4,2.0
8270, 5 Series,2017,30000,Semi-Auto,11086,Diesel,145,53.3,3.0
8271, 1 Series,2018,15800,Semi-Auto,11132,Petrol,145,55.5,1.5
8272, 1 Series,2018,16500,Semi-Auto,7656,Petrol,145,37.2,1.5
8273, X3,2015,19500,Semi-Auto,41567,Diesel,145,54.3,2.0
8274, 5 Series,2019,40000,Semi-Auto,1034,Petrol,145,39.2,3.0
8275, 1 Series,2017,21800,Semi-Auto,20294,Petrol,200,39.8,3.0
8276, 3 Series,2017,20998,Semi-Auto,30422,Diesel,145,51.4,3.0
8277, 3 Series,2017,19698,Semi-Auto,20313,Diesel,145,56.5,3.0
8278, 3 Series,2016,21498,Semi-Auto,28775,Diesel,160,51.4,3.0
8279, 3 Series,2015,17200,Semi-Auto,6147,Petrol,145,47.9,2.0
8280, X5,2013,24000,Automatic,45150,Diesel,200,45.6,3.0
8281, 1 Series,2019,26000,Manual,2073,Diesel,145,57.7,1.5
8282, 4 Series,2020,27000,Semi-Auto,25,Petrol,145,48.7,2.0
8283, 4 Series,2020,27500,Semi-Auto,25,Diesel,145,60.1,2.0
8284, X5,2019,52000,Semi-Auto,6500,Diesel,145,37.7,3.0
8285, 4 Series,2019,32000,Semi-Auto,4025,Diesel,145,50.4,3.0
8286, 2 Series,2015,10498,Manual,27221,Diesel,0,74.3,1.5
8287, 3 Series,2013,9985,Manual,75561,Diesel,20,68.9,2.0
8288, X4,2015,19485,Manual,53755,Diesel,160,52.3,2.0
8289, 3 Series,2013,9965,Semi-Auto,95043,Diesel,30,62.8,2.0
8290, X1,2014,10985,Semi-Auto,56952,Diesel,160,52.3,2.0
8291, 1 Series,2017,13489,Semi-Auto,59066,Diesel,20,72.4,1.5
8292, 3 Series,2016,13994,Semi-Auto,46889,Diesel,30,67.3,2.0
8293, 5 Series,2019,35950,Semi-Auto,5137,Diesel,145,51.4,3.0
8294, 4 Series,2019,25490,Semi-Auto,8794,Diesel,145,60.1,2.0
8295, 5 Series,2019,34900,Semi-Auto,9854,Diesel,145,53.3,3.0
8296, 7 Series,2018,42000,Semi-Auto,7123,Diesel,145,52.3,3.0
8297, 1 Series,2014,12000,Manual,41500,Diesel,125,57.6,2.0
8298, 1 Series,2016,14000,Manual,24678,Diesel,30,65.7,2.0
8299, M4,2019,48000,Semi-Auto,2258,Petrol,145,34.0,3.0
8300, 2 Series,2019,23950,Semi-Auto,4413,Diesel,145,46.3,2.0
8301, 4 Series,2019,26550,Semi-Auto,7292,Diesel,145,58.9,2.0
8302, X1,2016,18000,Semi-Auto,46354,Diesel,125,57.6,2.0
8303, 6 Series,2018,27990,Semi-Auto,21525,Diesel,150,49.6,3.0
8304, 1 Series,2017,13450,Manual,15663,Petrol,150,53.3,1.5
8305, X5,2017,34990,Automatic,18000,Diesel,200,47.1,3.0
8306, 4 Series,2020,29500,Semi-Auto,17,Diesel,145,60.1,2.0
8307, 5 Series,2019,28500,Semi-Auto,3816,Diesel,145,62.8,2.0
8308, 5 Series,2019,26000,Semi-Auto,4405,Petrol,145,48.7,2.0
8309, X2,2019,27000,Manual,4825,Diesel,145,49.6,2.0
8310, 4 Series,2019,27000,Semi-Auto,4406,Diesel,145,60.1,2.0
8311, 3 Series,2019,33000,Semi-Auto,11564,Diesel,145,49.6,2.0
8312, X2,2019,32000,Semi-Auto,10,Petrol,145,34.0,2.0
8313, 5 Series,2016,14495,Semi-Auto,51700,Diesel,30,65.7,2.0
8314, 3 Series,2013,9498,Semi-Auto,55701,Petrol,145,47.9,1.6
8315, 1 Series,2018,23498,Semi-Auto,11131,Petrol,145,39.8,3.0
8316, 3 Series,2020,51000,Semi-Auto,5000,Diesel,150,43.5,3.0
8317, X3,2016,22000,Semi-Auto,25000,Diesel,150,54.3,2.0
8318, 1 Series,2017,23000,Semi-Auto,18100,Petrol,150,39.8,3.0
8319, X6,2018,39990,Semi-Auto,7427,Diesel,145,40.9,3.0
8320, 3 Series,2017,17000,Semi-Auto,43362,Diesel,145,56.5,3.0
8321, 1 Series,2017,11990,Manual,18435,Petrol,125,53.3,1.5
8322, 1 Series,2019,16500,Semi-Auto,5000,Diesel,145,72.4,1.5
8323, X4,2018,40000,Semi-Auto,4135,Diesel,145,37.2,3.0
8324, 1 Series,2019,27000,Semi-Auto,1214,Diesel,145,51.4,2.0
8325, M5,2019,72000,Semi-Auto,3545,Petrol,145,24.1,4.4
8326, 3 Series,2017,19650,Semi-Auto,43267,Diesel,145,62.8,2.0
8327, X5,2020,60990,Semi-Auto,3500,Diesel,145,33.6,3.0
8328, 4 Series,2019,22500,Semi-Auto,5623,Diesel,145,65.7,2.0
